,cash,margin,realized_pnl,unrealized_pnl,equity,available
2023-11-24 11:30:00,57379.66520000001,0.0,10260.0,0.0,57379.66520000001,58029.66520000001
2023-11-24 13:30:00,57379.66520000001,0.0,10260.0,0.0,57379.66520000001,58029.66520000001
2023-11-24 14:30:00,57379.66520000001,0.0,10260.0,0.0,57379.66520000001,58029.66520000001
2023-11-24 15:30:00,57379.66520000001,0.0,10260.0,0.0,57379.66520000001,58029.66520000001
2023-11-24 17:15:00,57379.66520000001,0.0,10260.0,0.0,57379.66520000001,58029.66520000001
2023-11-24 18:15:00,57379.66520000001,0.0,10260.0,0.0,57379.66520000001,58029.66520000001
2023-11-24 19:15:00,57379.66520000001,0.0,10260.0,0.0,57379.66520000001,58029.66520000001
2023-11-24 20:15:00,57379.66520000001,0.0,10260.0,0.0,57379.66520000001,58029.66520000001
2023-11-24 21:15:00,57379.66520000001,0.0,10260.0,0.0,57379.66520000001,58029.66520000001
2023-11-24 22:15:00,57379.66520000001,0.0,10260.0,0.0,57379.66520000001,58029.66520000001
2023-11-24 23:15:00,57369.05180000001,17689.0,10260.0,-80.0,57289.05180000001,39600.05180000001
2023-11-25 00:15:00,57369.05180000001,17689.0,10260.0,0.0,57369.05180000001,39680.05180000001
2023-11-25 01:15:00,57369.05180000001,17689.0,10260.0,-130.0,57239.05180000001,39550.05180000001
2023-11-25 02:15:00,57369.05180000001,17689.0,10260.0,-40.0,57329.05180000001,39640.05180000001
2023-11-27 09:30:00,54658.60040000001,0.0,7560.0,0.0,54658.60040000001,54618.60040000001
2023-11-27 10:30:00,54658.60040000001,0.0,7560.0,0.0,54658.60040000001,54618.60040000001
2023-11-27 11:30:00,54658.60040000001,0.0,7560.0,0.0,54658.60040000001,54618.60040000001
2023-11-27 13:30:00,54658.60040000001,0.0,7560.0,0.0,54658.60040000001,54618.60040000001
2023-11-27 14:30:00,54658.60040000001,0.0,7560.0,0.0,54658.60040000001,54618.60040000001
2023-11-27 15:30:00,54658.60040000001,0.0,7560.0,0.0,54658.60040000001,54618.60040000001
2023-11-27 17:15:00,54648.06620000001,17557.0,7560.0,80.0,54728.06620000001,37171.06620000001
2023-11-27 18:15:00,54648.06620000001,17557.0,7560.0,-220.0,54428.06620000001,36871.06620000001
2023-11-27 19:15:00,54648.06620000001,17557.0,7560.0,-130.0,54518.06620000001,36961.06620000001
2023-11-27 20:15:00,54648.06620000001,17557.0,7560.0,-220.0,54428.06620000001,36871.06620000001
2023-11-27 21:15:00,54648.06620000001,17557.0,7560.0,-200.0,54448.06620000001,36891.06620000001
2023-11-27 22:15:00,54648.06620000001,17557.0,7560.0,-560.0,54088.06620000001,36531.06620000001
2023-11-27 23:15:00,54648.06620000001,17557.0,7560.0,-720.0,53928.06620000001,36371.06620000001
2023-11-28 00:15:00,54648.06620000001,17557.0,7560.0,-950.0,53698.06620000001,36141.06620000001
2023-11-28 01:15:00,54648.06620000001,17557.0,7560.0,-790.0,53858.06620000001,36301.06620000001
2023-11-28 02:15:00,54648.06620000001,17557.0,7560.0,-460.0,54188.06620000001,36631.06620000001
2023-11-28 09:30:00,54648.06620000001,17557.0,7560.0,-580.0,54068.06620000001,36511.06620000001
2023-11-28 10:30:00,54648.06620000001,17557.0,7560.0,-840.0,53808.06620000001,36251.06620000001
2023-11-28 11:30:00,52877.63760000001,0.0,5800.0,0.0,52877.63760000001,52037.63760000001
2023-11-28 13:30:00,52877.63760000001,0.0,5800.0,0.0,52877.63760000001,52037.63760000001
2023-11-28 14:30:00,52877.63760000001,0.0,5800.0,0.0,52877.63760000001,52037.63760000001
2023-11-28 15:30:00,52877.63760000001,0.0,5800.0,0.0,52877.63760000001,52037.63760000001
2023-11-28 17:15:00,52877.63760000001,0.0,5800.0,0.0,52877.63760000001,52037.63760000001
2023-11-28 18:15:00,52867.15860000001,17465.0,5800.0,-190.0,52677.15860000001,35212.15860000001
2023-11-28 19:15:00,52867.15860000001,17465.0,5800.0,0.0,52867.15860000001,35402.15860000001
2023-11-28 20:15:00,52867.15860000001,17465.0,5800.0,-120.0,52747.15860000001,35282.15860000001
2023-11-28 21:15:00,52867.15860000001,17465.0,5800.0,-300.0,52567.15860000001,35102.15860000001
2023-11-28 22:15:00,52867.15860000001,17465.0,5800.0,-50.0,52817.15860000001,35352.15860000001
2023-11-28 23:15:00,52867.15860000001,17465.0,5800.0,-900.0,51967.15860000001,34502.15860000001
2023-11-29 00:15:00,52867.15860000001,17465.0,5800.0,-220.0,52647.15860000001,35182.15860000001
2023-11-29 01:15:00,52867.15860000001,17465.0,5800.0,-260.0,52607.15860000001,35142.15860000001
2023-11-29 02:15:00,52867.15860000001,17465.0,5800.0,-890.0,51977.15860000001,34512.15860000001
2023-11-29 09:30:00,50506.82060000001,0.0,3450.0,0.0,50506.82060000001,49616.82060000001
2023-11-29 10:30:00,50506.82060000001,0.0,3450.0,0.0,50506.82060000001,49616.82060000001
2023-11-29 11:30:00,50506.82060000001,0.0,3450.0,0.0,50506.82060000001,49616.82060000001
2023-11-29 13:30:00,50506.82060000001,0.0,3450.0,0.0,50506.82060000001,49616.82060000001
2023-11-29 14:30:00,50506.82060000001,0.0,3450.0,0.0,50506.82060000001,49616.82060000001
2023-11-29 15:30:00,50506.82060000001,0.0,3450.0,0.0,50506.82060000001,49616.82060000001
2023-11-29 17:15:00,50506.82060000001,0.0,3450.0,0.0,50506.82060000001,49616.82060000001
2023-11-29 18:15:00,50506.82060000001,0.0,3450.0,0.0,50506.82060000001,49616.82060000001
2023-11-29 19:15:00,50506.82060000001,0.0,3450.0,0.0,50506.82060000001,49616.82060000001
2023-11-29 20:15:00,50506.82060000001,0.0,3450.0,0.0,50506.82060000001,49616.82060000001
2023-11-29 21:15:00,50506.82060000001,0.0,3450.0,0.0,50506.82060000001,49616.82060000001
2023-11-29 22:15:00,50506.82060000001,0.0,3450.0,0.0,50506.82060000001,49616.82060000001
2023-11-29 23:15:00,50496.5474,17122.0,3450.0,-10.0,50486.5474,33364.5474
2023-11-30 00:15:00,50496.5474,17122.0,3450.0,-350.0,50146.5474,33024.5474
2023-11-30 01:15:00,50496.5474,17122.0,3450.0,-460.0,50036.5474,32914.5474
2023-11-30 02:15:00,50496.5474,17122.0,3450.0,-380.0,50116.5474,32994.5474
2023-11-30 09:30:00,50496.5474,17122.0,3450.0,70.0,50566.5474,33444.5474
2023-11-30 10:30:00,50496.5474,17122.0,3450.0,-840.0,49656.5474,32534.547400000003
2023-11-30 11:30:00,50496.5474,17122.0,3450.0,-430.0,50066.5474,32944.5474
2023-11-30 13:30:00,50496.5474,17122.0,3450.0,-830.0,49666.5474,32544.547400000003
2023-11-30 14:30:00,50496.5474,17122.0,3450.0,-170.0,50326.5474,33204.5474
2023-11-30 15:30:00,50496.5474,17122.0,3450.0,-160.0,50336.5474,33214.5474
2023-11-30 17:15:00,50496.5474,17122.0,3450.0,-730.0,49766.5474,32644.547400000003
2023-11-30 18:15:00,50496.5474,17122.0,3450.0,-800.0,49696.5474,32574.547400000003
2023-11-30 19:15:00,50496.5474,17122.0,3450.0,-810.0,49686.5474,32564.547400000003
2023-11-30 20:15:00,50496.5474,17122.0,3450.0,-520.0,49976.5474,32854.5474
2023-11-30 21:15:00,50496.5474,17122.0,3450.0,-350.0,50146.5474,33024.5474
2023-11-30 22:15:00,50496.5474,17122.0,3450.0,-350.0,50146.5474,33024.5474
2023-11-30 23:15:00,50496.5474,17122.0,3450.0,-370.0,50126.5474,33004.5474
2023-12-01 00:15:00,50496.5474,17122.0,3450.0,110.0,50606.5474,33484.5474
2023-12-01 01:15:00,50496.5474,17122.0,3450.0,-430.0,50066.5474,32944.5474
2023-12-01 02:15:00,50496.5474,17122.0,3450.0,-610.0,49886.5474,32764.547400000003
2023-12-01 09:30:00,50496.5474,17122.0,3450.0,-510.0,49986.5474,32864.5474
2023-12-01 10:30:00,50496.5474,17122.0,3450.0,-1380.0,49116.5474,31994.547400000003
2023-12-01 11:30:00,50496.5474,17122.0,3450.0,-870.0,49626.5474,32504.547400000003
2023-12-01 13:30:00,49056.36,0.0,2020.0,0.0,49056.36,48186.36
2023-12-01 14:30:00,49056.36,0.0,2020.0,0.0,49056.36,48186.36
2023-12-01 15:30:00,49056.36,0.0,2020.0,0.0,49056.36,48186.36
2023-12-01 17:15:00,49056.36,0.0,2020.0,0.0,49056.36,48186.36
2023-12-01 18:15:00,49056.36,0.0,2020.0,0.0,49056.36,48186.36
2023-12-01 19:15:00,49056.36,0.0,2020.0,0.0,49056.36,48186.36
2023-12-01 20:15:00,49056.36,0.0,2020.0,0.0,49056.36,48186.36
2023-12-01 21:15:00,49056.36,0.0,2020.0,0.0,49056.36,48186.36
2023-12-01 22:15:00,49056.36,0.0,2020.0,0.0,49056.36,48186.36
2023-12-01 23:15:00,49056.36,0.0,2020.0,0.0,49056.36,48186.36
2023-12-02 00:15:00,49056.36,0.0,2020.0,0.0,49056.36,48186.36
2023-12-02 01:15:00,49046.1978,16937.0,2020.0,-350.0,48696.1978,31759.1978
2023-12-02 02:15:00,49046.1978,16937.0,2020.0,0.0,49046.1978,32109.1978
2023-12-04 09:30:00,49046.1978,16937.0,2020.0,1220.0,50266.1978,33329.1978
2023-12-04 10:30:00,49046.1978,16937.0,2020.0,-500.0,48546.1978,31609.1978
2023-12-04 11:30:00,49046.1978,16937.0,2020.0,-1170.0,47876.1978,30939.1978
2023-12-04 13:30:00,49046.1978,16937.0,2020.0,-1170.0,47876.1978,30939.1978
2023-12-04 14:30:00,46866.1658,0.0,-150.0,0.0,46866.1658,45696.1658
2023-12-04 15:30:00,46866.1658,0.0,-150.0,0.0,46866.1658,45696.1658
2023-12-04 17:15:00,46866.1658,0.0,-150.0,0.0,46866.1658,45696.1658
2023-12-04 18:15:00,46866.1658,0.0,-150.0,0.0,46866.1658,45696.1658
2023-12-04 19:15:00,46866.1658,0.0,-150.0,0.0,46866.1658,45696.1658
2023-12-04 20:15:00,46866.1658,0.0,-150.0,0.0,46866.1658,45696.1658
2023-12-04 21:15:00,46866.1658,0.0,-150.0,0.0,46866.1658,45696.1658
2023-12-04 22:15:00,46866.1658,0.0,-150.0,0.0,46866.1658,45696.1658
2023-12-04 23:15:00,46866.1658,0.0,-150.0,0.0,46866.1658,45696.1658
2023-12-05 00:15:00,46856.1284,16729.0,-150.0,-150.0,46706.1284,29977.1284
2023-12-05 01:15:00,46856.1284,16729.0,-150.0,0.0,46856.1284,30127.1284
2023-12-05 02:15:00,46856.1284,16729.0,-150.0,-240.0,46616.1284,29887.1284
2023-12-05 09:30:00,44306.2434,0.0,-2690.0,0.0,44306.2434,44066.2434
2023-12-05 10:30:00,44306.2434,0.0,-2690.0,0.0,44306.2434,44066.2434
2023-12-05 11:30:00,44306.2434,0.0,-2690.0,0.0,44306.2434,44066.2434
2023-12-05 13:30:00,44306.2434,0.0,-2690.0,0.0,44306.2434,44066.2434
2023-12-05 14:30:00,44306.2434,0.0,-2690.0,0.0,44306.2434,44066.2434
2023-12-05 15:30:00,44306.2434,0.0,-2690.0,0.0,44306.2434,44066.2434
2023-12-05 17:15:00,44306.2434,0.0,-2690.0,0.0,44306.2434,44066.2434
2023-12-05 18:15:00,44306.2434,0.0,-2690.0,0.0,44306.2434,44066.2434
2023-12-05 19:15:00,44306.2434,0.0,-2690.0,0.0,44306.2434,44066.2434
2023-12-05 20:15:00,44306.2434,0.0,-2690.0,0.0,44306.2434,44066.2434
2023-12-05 21:15:00,44306.2434,0.0,-2690.0,0.0,44306.2434,44066.2434
2023-12-05 22:15:00,44306.2434,0.0,-2690.0,0.0,44306.2434,44066.2434
2023-12-05 23:15:00,44296.4202,16372.0,-2690.0,-90.0,44206.4202,27834.4202
2023-12-06 00:15:00,44296.4202,16372.0,-2690.0,0.0,44296.4202,27924.4202
2023-12-06 01:15:00,44296.4202,16372.0,-2690.0,-50.0,44246.4202,27874.4202
2023-12-06 02:15:00,44296.4202,16372.0,-2690.0,250.0,44546.4202,28174.4202
2023-12-06 09:30:00,44296.4202,16372.0,-2690.0,-200.0,44096.4202,27724.4202
2023-12-06 10:30:00,44296.4202,16372.0,-2690.0,910.0,45206.4202,28834.4202
2023-12-06 11:30:00,44296.4202,16372.0,-2690.0,890.0,45186.4202,28814.4202
2023-12-06 13:30:00,44296.4202,16372.0,-2690.0,2270.0,46566.4202,30194.4202
2023-12-06 14:30:00,44296.4202,16372.0,-2690.0,1600.0,45896.4202,29524.4202
2023-12-06 15:30:00,44296.4202,16372.0,-2690.0,860.0,45156.4202,28784.4202
2023-12-06 17:15:00,44296.4202,16372.0,-2690.0,1380.0,45676.4202,29304.4202
2023-12-06 18:15:00,44296.4202,16372.0,-2690.0,1230.0,45526.4202,29154.4202
2023-12-06 19:15:00,44296.4202,16372.0,-2690.0,1080.0,45376.4202,29004.4202
2023-12-06 20:15:00,44296.4202,16372.0,-2690.0,1050.0,45346.4202,28974.4202
2023-12-06 21:15:00,44296.4202,16372.0,-2690.0,1080.0,45376.4202,29004.4202
2023-12-06 22:15:00,44296.4202,16372.0,-2690.0,1390.0,45686.4202,29314.4202
2023-12-06 23:15:00,44296.4202,16372.0,-2690.0,1820.0,46116.4202,29744.4202
2023-12-07 00:15:00,44296.4202,16372.0,-2690.0,1920.0,46216.4202,29844.4202
2023-12-07 01:15:00,44296.4202,16372.0,-2690.0,1280.0,45576.4202,29204.4202
2023-12-07 02:15:00,44296.4202,16372.0,-2690.0,920.0,45216.4202,28844.4202
2023-12-07 09:30:00,42846.6834,0.0,-4130.0,0.0,42846.6834,43766.6834
2023-12-07 10:30:00,42846.6834,0.0,-4130.0,0.0,42846.6834,43766.6834
2023-12-07 11:30:00,42846.6834,0.0,-4130.0,0.0,42846.6834,43766.6834
2023-12-07 13:30:00,42846.6834,0.0,-4130.0,0.0,42846.6834,43766.6834
2023-12-07 14:30:00,42846.6834,0.0,-4130.0,0.0,42846.6834,43766.6834
